DATE,CatfishFarm Price,CatfishProcessor Price
1/1/1986,70,201
2/1/1986,70,199
3/1/1986,72,199.7
4/1/1986,74,207.1
5/1/1986,72,203.9
6/1/1986,68,199.7
7/1/1986,66,198.6
8/1/1986,63,194
9/1/1986,63,188.5
10/1/1986,62,185.5
11/1/1986,61,186.4
12/1/1986,61,185.2
1/1/1987,60,182
2/1/1987,57,187.1
3/1/1987,59,183.4
4/1/1987,65,197.5
5/1/1987,69,201.3
6/1/1987,64,199.9
7/1/1987,61,196.3
8/1/1987,60,197.3
9/1/1987,60,194.2
10/1/1987,61,194.5
11/1/1987,62,191
12/1/1987,64,195.5
1/1/1988,68,203.9
2/1/1988,72,205.3
3/1/1988,75,218.8
4/1/1988,75,217.2
5/1/1988,75,226.3
6/1/1988,78,228.9
7/1/1988,80,230.3
8/1/1988,80,236.5
9/1/1988,79,226.4
10/1/1988,79,221.3
11/1/1988,78,219.1
12/1/1988,78,215.3
1/1/1989,78,217.3
2/1/1989,78,218.4
3/1/1989,77,219.5
4/1/1989,76,218.9
5/1/1989,76,217.2
6/1/1989,75,212.9
7/1/1989,71,212.1
8/1/1989,68,209.5
9/1/1989,65,203.1
10/1/1989,64,200.8
11/1/1989,64,200.4
12/1/1989,68,204.6
1/1/1990,72,214.5
2/1/1990,74,221.3
3/1/1990,78,228.3
4/1/1990,78,228.8
5/1/1990,78,226.9
6/1/1990,78,226.3
7/1/1990,76,226.9
8/1/1990,76,223.8
9/1/1990,76,222.6
10/1/1990,76,224.1
11/1/1990,75,221.9
12/1/1990,72,222
1/1/1991,69,217.5
2/1/1991,69,216.3
3/1/1991,69,217.4
4/1/1991,69,216.2
5/1/1991,66,215.5
6/1/1991,65,215
7/1/1991,63,211.5
8/1/1991,60,204.2
9/1/1991,59,203.5
10/1/1991,58,200.1
11/1/1991,57,196.9
12/1/1991,53,189.4
1/1/1992,53,186.4
2/1/1992,56,193.1
3/1/1992,60,202.3
4/1/1992,63,206.3
5/1/1992,63,207.6
6/1/1992,61,203.4
7/1/1992,59,200.7
8/1/1992,58,200.1
9/1/1992,59,197.9
10/1/1992,61,201.7
11/1/1992,62,203.4
12/1/1992,63,200.7
1/1/1993,63,202.7
2/1/1993,67,211.2
3/1/1993,70,219.6
4/1/1993,71,222.5
5/1/1993,72,223.2
6/1/1993,72,221.3
7/1/1993,72,218.2
8/1/1993,73,219.7
