DATE,CatfishFarm Sales to Processors,CatfishProcessor Inventories,"CatfishProcessor Sales, All categories",Catfish-Fresh Filleted FishProcessor Inventories,Catfish-Fresh Filleted FishProcessor Sales,Catfish-Fresh Fish TotalProcessor Inventories,Catfish-Fresh Fish TotalProcessor Sales,Catfish-Fresh Other FishProcessor Inventories,Catfish-Fresh Other FishProcessor Sales,Catfish-Fresh Whole FishProcessor Inventories,Catfish-Fresh Whole FishProcessor Sales,Catfish-Fresh and Frozen Filleted FishProcessor Sales,Catfish-Fresh and Frozen Fish TotalProcessor Sales,Catfish-Fresh and Frozen Other FishProcessor Sales,Catfish-Fresh and Frozen Whole FishProcessor Sales,Catfish-Frozen Filleted FishProcessor Inventories,Catfish-Frozen Filleted FishProcessor Sales,Catfish-Frozen Fish TotalProcessor Inventories,Catfish-Frozen Fish TotalProcessor Sales,Catfish-Frozen Other FishProcessor Inventories,Catfish-Frozen Other FishProcessor Sales,Catfish-Frozen Whole FishProcessor Inventories,Catfish-Frozen Whole FishProcessor Sales
1/1/1986,19761,5103,9034,143,1091,381,4364,29,360,209,2913,3303,9034,1426,4305,2075,2212,4722,4670,963,1066,1684,1392
2/1/1986,19083,5361,9596,94,1222,279,5083,43,541,142,3320,3467,9596,1443,4686,2537,2245,5082,4513,638,902,1907,1366
3/1/1986,18664,4671,10558,98,1324,346,5190,24,379,224,3487,3784,10558,1634,5140,2120,2460,4325,5368,579,1255,1626,1653
4/1/1986,16354,4836,9002,105,1217,355,4459,39,332,211,2910,3415,9002,1512,4075,2052,2198,4481,4543,711,1180,1718,1165
5/1/1986,16013,4236,9239,10,1230,360,4492,23,343,217,2919,3543,9239,1447,4249,1910,2313,3876,4747,673,1104,1293,1330
6/1/1986,15951,3985,8951,136,1125,388,4418,33,312,219,2981,3386,8951,1294,4271,1757,2261,3597,4533,717,982,1123,1290
7/1/1986,17036,3798,9668,131,1233,467,4468,38,375,298,2860,3688,9668,1666,4314,1602,2455,3331,5200,754,1291,975,1454
8/1/1986,18663,3548,10188,150,1420,467,4908,59,367,258,3121,3803,10188,1806,4579,1398,2383,3081,5280,806,1439,877,1458
9/1/1986,18859,3783,9896,152,1217,443,4787,57,343,234,3227,3457,9896,1932,4507,1570,2240,3340,5109,857,1589,913,1280
10/1/1986,20453,4021,10649,104,1438,317,5334,24,373,189,3523,3824,10649,1876,4949,1953,2386,3704,5315,749,1503,1002,1426
11/1/1986,17107,4223,8917,108,1086,364,4484,39,333,217,3065,3358,8917,1467,4092,1978,2272,3859,4433,879,1134,1002,1027
12/1/1986,15812,4147,8196,124,1036,332,4173,16,373,192,2764,2987,8196,1428,3781,1982,1951,3815,4023,771,1055,1062,1017
1/1/1987,20988,4366,10767,114,1378,314,5821,21,572,179,3871,3588,10768,2008,5172,2015,2210,4052,4947,640,1436,1397,1301
2/1/1987,22163,4198,12220,203,1543,544,6089,32,460,309,4086,4361,12220,2257,5602,1641,2818,3654,6131,655,1797,1358,1516
3/1/1987,27583,4203,14463,217,1903,686,7620,41,577,428,5140,5055,14463,2450,6958,1515,3152,3517,6843,742,1873,1260,1818
4/1/1987,26781,4747,12944,151,1766,483,6100,34,422,298,3912,5027,12944,2423,5494,1840,3261,4264,6844,913,2001,1511,1582
5/1/1987,21623,4951,11001,111,1367,442,4990,42,435,289,3188,4110,11001,2185,4706,2059,2743,4509,6011,1039,1750,1411,1518
6/1/1987,19581,4192,11000,155,1500,490,5208,50,389,285,3319,4110,11000,2168,4722,1666,2610,3702,5792,963,1779,1073,1403
7/1/1987,21638,3732,11876,136,1355,524,5600,65,412,323,3833,4336,11876,2355,5185,1375,2981,3208,6276,984,1943,849,1352
