DATE,Catfish-Fresh Filleted Fish,Catfish-Fresh Fish Total,Catfish-Fresh Other Fish,Catfish-Fresh Whole Fish,Catfish-Fresh and Frozen Filleted Fish,Catfish-Fresh and Frozen Fish Total,Catfish-Fresh and Frozen Other Fish,Catfish-Fresh and Frozen Whole Fish,Catfish-Frozen Filleted Fish,Catfish-Frozen Fish Total,Catfish-Frozen Other Fish,Catfish-Frozen Whole Fish
1/1/1986,2.73,1.86,1.69,1.56,2.649636694,2.009911446,1.809607293,1.592334495,2.61,2.15,1.85,1.66
2/1/1986,2.66,1.83,1.7,1.54,2.634098644,1.989902043,1.793762994,1.569150662,2.62,2.17,1.85,1.64
3/1/1986,2.71,1.86,1.53,1.58,2.644989429,1.997275999,1.768096695,1.59929572,2.61,2.13,1.84,1.64
4/1/1986,2.74,1.92,1.64,1.61,2.714254758,2.071399689,1.819497354,1.624294479,2.7,2.22,1.87,1.66
5/1/1986,2.7,1.9,1.63,1.6,2.660829805,2.038726053,1.759702833,1.61878089,2.64,2.17,1.8,1.66
6/1/1986,2.65,1.84,1.6,1.56,2.629967513,1.996991398,1.713833076,1.58114259,2.62,2.15,1.75,1.63
7/1/1986,2.63,1.83,1.53,1.53,2.590059653,1.985978486,1.75472389,1.563704219,2.57,2.12,1.82,1.63
8/1/1986,2.56,1.8,1.5,1.49,2.547467789,1.939929329,1.723100775,1.515472811,2.54,2.07,1.78,1.57
9/1/1986,2.56,1.74,1.51,1.46,2.52112236,1.884555376,1.682717391,1.491240293,2.5,2.02,1.72,1.57
10/1/1986,2.53,1.72,1.51,1.41,2.517520921,1.854759132,1.614152452,1.435932512,2.51,1.99,1.64,1.5
11/1/1986,2.52,1.69,1.5,1.42,2.459106611,1.863999103,1.662331288,1.447607527,2.43,2.04,1.71,1.53
12/1/1986,2.5,1.68,1.4,1.41,2.467341815,1.851797218,1.651190476,1.436897646,2.45,2.03,1.74,1.51
1/1/1987,2.48,1.65,1.32,1.4,2.461521739,1.819984212,1.677569721,1.425154679,2.45,2.02,1.82,1.5
2/1/1987,2.49,1.68,1.5,1.4,2.477076359,1.870653028,1.80255206,1.427061764,2.47,2.06,1.88,1.5
3/1/1987,2.52,1.69,1.48,1.4,2.501293769,1.860329807,1.755216327,1.428741018,2.49,2.05,1.84,1.51
4/1/1987,2.6,1.81,1.6,1.48,2.574052119,1.989771323,1.864267437,1.508795049,2.56,2.15,1.92,1.58
5/1/1987,2.62,1.84,1.64,1.53,2.606652068,2.031241705,1.968375286,1.555805355,2.6,2.19,2.05,1.61
6/1/1987,2.6,1.82,1.68,1.49,2.6,1.999025455,1.917965867,1.522683185,2.6,2.16,1.97,1.6
7/1/1987,2.57,1.72,1.58,1.44,2.55625,1.96309195,1.959524416,1.476505304,2.55,2.18,2.04,1.58
8/1/1987,2.56,1.79,1.56,1.46,2.527363,1.972729437,1.879471383,1.486501213,2.51,2.13,1.95,1.55
9/1/1987,2.5,1.75,1.57,1.42,2.493687859,1.942272121,1.910628236,1.453590483,2.49,2.11,1.97,1.54
10/1/1987,2.51,1.76,1.59,1.42,2.491287296,1.944634285,1.911587838,1.452920723,2.48,2.11,1.97,1.54
11/1/1987,2.53,1.73,1.57,1.4,2.505033096,1.909795792,1.920803121,1.425732093,2.49,2.08,1.99,1.49
12/1/1987,2.56,1.77,1.57,1.41,2.528347639,1.955489288,1.863304442,1.440032392,2.51,2.13,1.93,1.52
1/1/1988,2.62,1.88,1.67,1.53,2.614182673,2.038746509,1.987547757,1.542945434,2.61,2.21,2.07,1.58
2/1/1988,2.61,1.88,1.7,1.55,2.628551996,2.053235725,2.018340265,1.55,2.64,2.22,2.09,1.55
3/1/1988,2.74,2.01,1.71,1.62,2.727936877,2.188224312,2.153783784,1.63130235,2.72,2.35,2.25,1.66
4/1/1988,2.77,2.03,1.74,1.63,2.764065934,2.167373704,2.036219313,1.636320735,2.76,2.29,2.1,1.65
5/1/1988,2.83,2.12,1.77,1.73,2.804219949,2.262630912,2.078657501,1.736610644,2.79,2.37,2.14,1.75
6/1/1988,2.83,2.11,1.84,1.68,2.802807594,2.288632052,2.092062527,1.722397923,2.79,2.41,2.14,1.8
7/1/1988,2.87,2.15,1.8,1.73,2.843381652,2.308906845,2.06954955,1.770501767,2.83,2.42,2.13,1.84
8/1/1988,2.89,2.23,1.83,1.79,2.869925243,2.364529832,2.102201258,1.816976185,2.86,2.45,2.15,1.86
9/1/1988,2.87,2.13,1.76,1.7,2.850623946,2.264087253,1.942396907,1.748284774,2.84,2.36,1.97,1.85
10/1/1988,2.81,2.09,1.63,1.68,2.763640138,2.213432526,1.857653061,1.728460363,2.74,2.3,1.9,1.82
11/1/1988,2.75,2.06,1.6,1.63,2.737403357,2.190544223,1.846123219,1.688502181,2.73,2.29,1.89,1.81
12/1/1988,2.73,2.02,1.56,1.59,2.723699229,2.152690549,1.733456848,1.63566938,2.72,2.26,1.77,1.75
1/1/1989,2.72,2.06,1.55,1.61,2.69556139,2.166959846,1.839437913,1.648324651,2.68,2.25,1.9,1.72
2/1/1989,2.74,2.02,1.58,1.61,2.733799305,2.179004486,1.922515413,1.646790636,2.73,2.31,2.01,1.73
3/1/1989,2.74,2.04,1.79,1.58,2.734210825,2.194791172,1.993863878,1.623924317,2.73,2.35,2.06,1.74
4/1/1989,2.72,2.04,1.77,1.59,2.695472488,2.184135477,1.985705247,1.63046374,2.68,2.31,2.05,1.72
5/1/1989,2.68,2.02,1.79,1.57,2.661912212,2.17164616,1.998429907,1.613383199,2.65,2.31,2.06,1.72
6/1/1989,2.67,1.97,1.73,1.51,2.646126194,2.129087177,1.955969448,1.565178879,2.63,2.28,2.03,1.7
7/1/1989,2.63,1.98,1.83,1.5,2.618277627,2.125639196,1.988094901,1.555018602,2.61,2.26,2.04,1.68
8/1/1989,2.59,1.93,1.78,1.46,2.571228951,2.090855753,1.933076644,1.513321678,2.56,2.22,1.97,1.63
9/1/1989,2.49,1.87,1.83,1.42,2.5190092,2.031445505,1.958620336,1.458978829,2.54,2.19,2,1.56
10/1/1989,2.47,1.87,1.7,1.41,2.511775418,2.007599199,1.861615911,1.448824822,2.51,2.15,1.92,1.55
11/1/1989,2.47,1.88,1.8,1.42,2.504541635,2.004322527,1.79231091,1.455128519,2.53,2.12,1.79,1.54
12/1/1989,2.53,1.91,1.93,1.45,2.54184134,2.040783961,1.891322774,1.490136689,2.55,2.16,1.88,1.58
1/1/1990,2.66,2.05,2,1.56,2.641888209,2.149319003,1.944432334,1.596235785,2.63,2.23,1.93,1.67
2/1/1990,2.7,2.09,1.94,1.6,2.687778797,2.213152464,2.042098453,1.63342155,2.68,2.31,2.07,1.7
3/1/1990,2.79,2.17,2.05,1.64,2.755986291,2.288291717,2.144313346,1.682490809,2.73,2.4,2.17,1.79
4/1/1990,2.79,2.17,2.04,1.65,2.778444936,2.288005698,2.134120619,1.691814221,2.77,2.39,2.16,1.78
