iter	Passed	Remaining
0	20	20217
1	23	11634
2	26	8736
3	29	7293
4	32	6500
5	36	5971
6	38	5484
7	40	5072
8	43	4745
9	46	4580
10	48	4372
11	51	4247
12	53	4097
13	56	3974
14	61	4063
15	65	4043
16	68	3977
17	71	3902
18	80	4150
19	83	4079
20	85	4006
21	89	3965
22	92	3911
23	95	3890
24	98	3856
25	102	3823
26	104	3771
27	108	3779
28	111	3734
29	114	3686
30	116	3652
31	119	3606
32	121	3561
33	124	3524
34	126	3499
35	130	3489
36	134	3500
37	138	3502
38	141	3474
39	143	3447
40	146	3417
41	148	3396
42	152	3397
43	155	3377
44	157	3344
45	159	3310
46	161	3283
47	165	3274
48	167	3245
49	169	3219
50	172	3207
51	176	3209
52	185	3310
53	190	3335
54	194	3340
55	196	3310
56	201	3333
57	204	3321
58	208	3320
59	210	3304
60	214	3302
61	217	3283
62	219	3267
63	222	3259
64	225	3250
65	228	3234
66	231	3220
67	233	3199
68	235	3176
69	237	3157
70	241	3159
71	243	3141
72	246	3136
73	250	3131
74	252	3118
75	256	3115
76	258	3099
77	260	3084
78	263	3068
79	265	3051
80	267	3035
81	269	3018
82	271	3002
83	274	2990
84	276	2974
85	279	2968
86	281	2953
87	283	2940
88	286	2929
89	288	2916
90	290	2902
91	293	2891
92	295	2881
93	297	2869
94	300	2859
95	302	2848
96	304	2836
97	306	2824
98	309	2812
99	311	2801
100	313	2790
101	315	2780
102	318	2772
103	320	2765
104	324	2763
105	326	2757
106	329	2748
107	331	2740
108	334	2733
109	336	2723
110	339	2718
111	341	2710
112	344	2705
113	347	2704
114	350	2699
115	353	2695
116	356	2689
117	359	2684
118	362	2680
119	364	2674
120	367	2666
121	370	2664
122	372	2655
123	375	2649
124	377	2641
125	379	2633
126	382	2626
127	384	2618
128	386	2611
129	389	2603
130	391	2599
131	394	2594
132	397	2593
133	400	2588
134	403	2584
135	407	2588
136	410	2584
137	412	2578
138	415	2573
139	418	2572
140	421	2565
141	424	2564
142	427	2559
143	429	2553
144	431	2546
145	434	2541
146	436	2533
147	439	2529
148	442	2526
149	445	2522
150	447	2516
151	450	2511
152	452	2504
153	454	2496
154	456	2490
155	459	2484
156	461	2475
157	463	2468
158	465	2460
159	467	2452
160	469	2445
161	472	2443
162	474	2439
163	477	2431
164	479	2425
165	481	2418
166	483	2412
167	485	2406
168	488	2403
169	490	2396
170	492	2389
171	494	2380
172	496	2373
173	498	2366
174	500	2361
175	503	2358
176	506	2355
177	508	2348
178	512	2349
179	514	2344
180	517	2339
181	519	2333
182	522	2332
183	524	2325
184	526	2320
185	529	2317
186	532	2314
187	534	2309
188	538	2309
189	540	2305
190	543	2301
191	545	2297
192	548	2293
193	550	2287
194	552	2281
195	554	2276
196	557	2271
197	559	2265
198	562	2262
199	564	2257
200	566	2251
201	569	2249
202	571	2244
203	573	2239
204	576	2234
205	578	2229
206	580	2223
207	582	2218
208	585	2216
209	588	2215
210	591	2211
211	593	2207
212	596	2203
213	598	2198
214	601	2196
215	604	2193
216	607	2190
217	610	2188
218	613	2186
219	616	2185
220	620	2185
221	622	2180
222	624	2176
223	626	2171
224	629	2167
225	631	2162
226	634	2159
227	635	2153
228	637	2147
229	639	2141
230	641	2135
231	643	2130
232	645	2125
233	648	2121
234	650	2116
235	652	2111
236	653	2104
237	655	2099
238	657	2093
239	659	2088
240	661	2082
241	663	2077
242	666	2074
243	668	2070
244	670	2065
245	672	2062
246	675	2059
247	678	2056
248	681	2056
249	683	2050
250	686	2047
251	688	2043
252	690	2038
253	692	2034
254	694	2030
255	698	2028
256	700	2024
257	702	2020
258	705	2017
259	707	2013
260	709	2008
261	711	2005
262	714	2002
263	716	1997
264	718	1993
265	720	1988
266	722	1983
267	724	1979
268	726	1974
269	729	1971
270	731	1966
271	733	1961
272	734	1957
273	736	1952
274	739	1948
275	741	1944
276	743	1941
277	746	1939
278	748	1934
279	750	1930
280	752	1925
281	754	1920
282	756	1916
283	758	1912
284	761	1909
285	763	1906
286	765	1902
287	767	1898
288	769	1893
289	771	1889
290	773	1884
291	775	1881
292	777	1876
293	779	1872
294	781	1868
295	784	1865
296	786	1860
297	788	1856
298	790	1852
299	792	1848
300	794	1844
301	796	1840
302	798	1836
303	800	1832
304	802	1828
305	804	1824
306	806	1820
307	810	1820
308	812	1816
309	814	1813
310	816	1809
311	819	1806
312	821	1803
313	824	1800
314	826	1798
315	829	1794
316	831	1791
317	833	1788
318	835	1784
319	838	1781
320	841	1780
321	844	1777
322	847	1775
323	849	1772
324	851	1768
325	854	1766
326	856	1763
327	859	1760
328	861	1757
329	863	1753
330	865	1749
331	867	1746
332	870	1743
333	872	1740
334	875	1737
335	877	1734
336	880	1732
337	883	1731
338	886	1729
339	889	1726
340	892	1724
341	895	1722
342	897	1719
343	900	1716
344	903	1714
345	906	1713
346	909	1711
347	912	1708
348	914	1706
349	917	1703
350	919	1700
351	922	1698
352	925	1695
353	927	1691
354	929	1688
355	931	1684
356	933	1681
357	936	1678
358	938	1676
359	941	1673
360	943	1669
361	945	1666
362	947	1663
363	950	1660
364	952	1657
365	955	1654
366	957	1651
367	959	1648
368	961	1644
369	964	1642
370	966	1638
371	968	1635
372	971	1632
373	973	1630
374	976	1626
375	978	1623
376	981	1621
377	983	1618
378	985	1615
379	988	1612
380	990	1609
381	992	1606
382	995	1603
383	998	1601
384	1001	1599
385	1004	1598
386	1007	1595
387	1011	1595
388	1014	1593
389	1017	1592
390	1020	1589
391	1023	1586
392	1026	1585
393	1029	1583
394	1031	1580
395	1034	1578
396	1037	1575
397	1040	1573
398	1042	1570
399	1044	1566
400	1046	1563
401	1049	1560
402	1051	1558
403	1054	1555
404	1056	1552
405	1058	1548
