iter	Passed	Remaining
0	64	32084
1	69	17328
2	74	12331
3	81	10094
4	85	8476
5	88	7300
6	93	6550
7	96	5912
8	99	5411
9	101	4992
10	104	4645
11	107	4370
12	110	4121
13	113	3926
14	115	3745
15	118	3580
16	120	3427
17	122	3291
18	125	3171
19	127	3060
20	129	2963
21	132	2874
22	134	2790
23	136	2713
24	139	2643
25	141	2577
26	143	2517
27	145	2460
28	148	2416
29	151	2368
30	153	2321
31	155	2277
32	158	2237
33	160	2194
34	161	2152
35	163	2110
36	165	2072
37	167	2035
38	169	1999
39	170	1966
40	172	1933
41	174	1903
42	176	1873
43	178	1845
44	179	1819
45	181	1793
46	183	1769
47	185	1745
48	187	1723
49	188	1700
50	190	1679
51	193	1663
52	195	1648
53	197	1633
54	200	1618
55	202	1604
56	205	1593
57	207	1583
58	210	1574
59	213	1564
60	215	1552
61	217	1539
62	220	1526
63	222	1512
64	224	1501
65	226	1489
66	228	1477
67	230	1464
68	232	1453
69	234	1441
70	236	1429
71	238	1418
72	240	1407
73	242	1396
74	244	1386
75	246	1376
76	248	1366
77	250	1356
78	252	1347
79	254	1338
80	257	1329
81	259	1321
82	261	1312
83	263	1303
84	265	1295
85	267	1287
86	269	1278
87	271	1270
88	273	1261
89	275	1253
90	276	1244
91	278	1236
92	280	1228
93	282	1219
94	284	1211
95	286	1204
96	287	1196
97	289	1188
98	291	1181
99	293	1175
100	295	1168
101	297	1162
102	299	1154
103	301	1147
104	303	1141
105	305	1134
106	306	1127
107	308	1120
108	310	1114
109	312	1107
110	314	1101
111	316	1095
112	318	1089
113	319	1082
114	321	1076
115	323	1070
116	325	1064
117	327	1058
118	328	1053
119	330	1047
120	332	1041
121	334	1036
122	336	1030
123	338	1025
124	339	1019
125	341	1014
126	343	1008
127	345	1003
128	347	999
129	349	994
130	351	990
131	353	985
132	355	981
133	357	977
134	359	973
135	362	969
136	364	965
137	366	960
138	368	957
139	370	953
140	372	948
141	374	944
142	376	940
143	378	936
144	380	932
145	382	928
146	384	924
147	386	920
148	388	916
149	391	912
150	393	908
151	395	904
152	397	901
153	399	897
154	401	893
155	403	889
156	405	885
157	407	882
158	410	880
159	412	876
160	415	874
161	417	870
162	419	867
163	421	863
164	423	859
165	425	855
166	427	852
167	429	848
168	430	844
169	432	840
170	434	836
171	436	832
172	438	828
173	440	824
174	442	821
175	444	817
176	445	813
177	447	810
178	449	806
179	451	802
180	453	799
181	455	795
182	457	792
183	459	788
184	461	785
185	463	781
186	465	778
187	466	774
188	468	771
189	470	767
190	472	765
191	474	761
192	476	758
193	478	754
194	480	751
195	482	749
196	485	746
197	488	744
198	490	742
199	494	741
200	497	739
201	500	737
202	502	735
203	505	733
204	508	731
205	510	729
206	513	726
207	515	723
208	517	720
209	519	718
210	522	715
211	524	712
212	526	709
213	529	707
214	531	704
215	533	701
216	535	698
217	537	695
218	540	692
219	542	690
220	544	687
221	546	684
222	548	681
223	551	678
224	553	676
225	555	673
226	557	670
227	559	667
228	561	664
229	563	661
230	565	658
231	567	655
232	569	652
233	571	649
234	573	646
235	575	644
236	578	641
237	580	639
238	582	636
239	584	633
240	587	631
241	589	628
242	592	626
243	594	623
244	596	620
245	598	618
246	601	615
247	603	613
248	605	610
249	607	607
250	609	604
251	611	602
252	614	599
253	616	597
254	619	595
255	621	592
256	623	589
257	626	587
258	628	584
259	630	581
260	632	579
261	634	576
262	636	573
263	638	570
264	640	567
265	642	564
266	644	562
267	646	559
268	648	557
269	651	554
270	653	552
271	655	549
272	657	546
273	660	544
274	662	542
275	665	539
276	667	537
277	669	534
278	671	532
279	674	529
280	676	527
281	679	524
282	681	522
283	683	519
284	685	517
285	688	515
286	691	513
287	694	511
288	696	508
289	699	506
290	701	504
291	704	501
292	706	499
293	708	496
294	710	494
295	713	491
296	715	488
297	717	486
298	719	483
299	721	481
300	723	478
301	725	475
302	728	473
303	729	470
304	731	467
305	733	465
306	735	462
307	737	459
308	739	457
309	741	454
310	744	452
311	746	449
312	748	447
313	750	444
314	753	442
315	755	439
316	757	437
317	759	434
318	762	432
319	764	429
320	766	427
321	769	425
322	771	422
323	774	420
324	776	418
325	778	415
326	781	413
327	783	410
328	785	408
329	787	405
330	790	403
331	792	400
332	794	398
333	796	395
334	798	393
335	800	390
336	802	387
337	804	385
338	805	382
339	807	380
340	810	377
341	812	375
342	813	372
343	815	369
344	818	367
345	820	365
346	822	362
347	825	360
348	827	358
349	830	355
350	832	353
351	834	351
352	836	348
353	840	346
354	843	344
355	845	342
356	847	339
357	850	337
358	852	334
359	855	332
360	858	330
361	861	328
362	863	326
363	865	323
364	868	321
365	870	318
366	873	316
367	875	313
368	877	311
369	879	309
370	881	306
371	883	304
372	886	301
373	888	299
374	891	297
375	894	294
376	896	292
377	898	290
378	901	287
379	904	285
380	907	283
381	909	280
382	911	278
383	914	276
384	917	273
385	920	271
386	923	269
387	926	267
388	929	265
389	932	263
390	936	261
391	938	258
392	941	256
