manufacturer,model,type,min_price,price,max_price,mpg_city,mpg_highway,airbags,drive_train,cylinders,engine_size,horsepower,rpm,rev_per_mile,man_trans_avail,fuel_tank_capacity,passengers,length,wheelbase,width,turn_circle,rear_seat_room,luggage_room,weight,origin,make
Chevrolet,Cavalier,Compact,8.5,13.4,18.3,25,36,None,Front,4.0,2.2,110,5200,2380,Yes,15.2,5,182,101,66,38,25.0,13.0,2490,USA,Chevrolet Cavalier
Chevrolet,Corsica,Compact,11.4,11.4,11.4,25,34,Driver only,Front,4.0,2.2,110,5200,2665,Yes,15.6,5,184,103,68,39,26.0,14.0,2785,USA,Chevrolet Corsica
Chevrolet,Camaro,Sporty,13.4,15.1,16.8,19,28,Driver & Passenger,Rear,6.0,3.4,160,4600,1805,Yes,15.5,4,193,101,74,43,25.0,13.0,3240,USA,Chevrolet Camaro
Chevrolet,Lumina,Midsize,13.4,15.9,18.4,21,29,None,Front,4.0,2.2,110,5200,2595,No,16.5,6,198,108,71,40,28.5,16.0,3195,USA,Chevrolet Lumina
Chevrolet,Lumina_APV,Van,14.7,16.3,18.0,18,23,None,Front,6.0,3.8,170,4800,1690,No,20.0,7,178,110,74,44,30.5,,3715,USA,Chevrolet Lumina_APV
Chevrolet,Astro,Van,14.7,16.6,18.6,15,20,None,4WD,6.0,4.3,165,4000,1790,No,27.0,8,194,111,78,42,33.5,,4025,USA,Chevrolet Astro
Chevrolet,Caprice,Large,18.0,18.8,19.6,17,26,Driver only,Rear,8.0,5.0,170,4200,1350,No,23.0,6,214,116,77,42,29.5,20.0,3910,USA,Chevrolet Caprice
Chevrolet,Corvette,Sporty,34.6,38.0,41.5,17,25,Driver only,Rear,8.0,5.7,300,5000,1450,Yes,20.0,2,179,96,74,43,,,3380,USA,Chevrolet Corvette
Ford,Festiva,Small,6.9,7.4,7.9,31,33,None,Front,4.0,1.3,63,5000,3150,Yes,10.0,4,141,90,63,33,26.0,12.0,1845,USA,Ford Festiva
Ford,Festiva,Sporty,13.4,14.1,16.8,19,28,Driver & Passenger,Rear,6.0,3.4,160,4600,1805,Yes,15.5,4,193,101,74,43,25.0,13.0,3240,USA,Chevrolet Camaro
Ford,Escort,Small,8.4,10.1,11.9,23,30,None,Front,4.0,1.8,127,6500,2410,Yes,13.2,5,171,98,67,36,28.0,12.0,2530,USA,Ford Escort
Ford,Tempo,Compact,10.4,11.3,12.2,22,27,None,Front,4.0,2.3,96,4200,2805,Yes,15.9,5,177,100,68,39,27.5,13.0,2690,USA,Ford Tempo
Ford,Mustang,Sporty,10.8,15.9,21.0,22,29,Driver only,Rear,4.0,2.3,105,4600,2285,Yes,15.4,4,180,101,68,40,24.0,12.0,2850,USA,Ford Mustang
Ford,Probe,Sporty,12.8,14.0,15.2,24,30,Driver only,Front,4.0,2.0,115,5500,2340,Yes,15.5,4,179,103,70,38,23.0,18.0,2710,USA,Ford Probe
Ford,Aerostar,Van,14.5,19.9,25.3,15,20,Driver only,4WD,6.0,3.0,145,4800,2080,Yes,21.0,7,176,119,72,45,30.0,,3735,USA,Ford Aerostar
Ford,Taurus,Midsize,15.6,20.2,24.8,21,30,Driver only,Front,6.0,3.0,140,4800,1885,No,16.0,5,192,106,71,40,27.5,18.0,3325,USA,Ford Taurus
Ford,Crown_Victoria,Large,20.1,20.9,21.7,18,26,Driver only,Rear,8.0,4.6,190,4200,1415,No,20.0,6,212,114,78,43,30.0,21.0,3950,USA,Ford Crown_Victoria
Honda,Prelude,Sporty,17.0,19.8,22.7,24,31,Driver & Passenger,Front,4.0,2.3,160,5800,2855,Yes,15.9,4,175,100,70,39,23.5,8.0,2865,non-USA,Honda Prelude
Honda,Astro,Sporty,14.7,16.6,18.6,15,20,None,4WD,6.0,4.3,165,4000,1790,No,27.0,8,194,111,78,42,33.5,,4025,USA,Chevrolet Astro
Honda,Civic,Small,8.4,12.1,15.8,42,46,Driver only,Front,4.0,1.5,102,5900,2650,Yes,11.9,4,173,103,67,36,28.0,12.0,2350,non-USA,Honda Civic
Honda,Accord,Compact,13.8,17.5,21.2,24,31,Driver & Passenger,Front,4.0,2.2,140,5600,2610,Yes,17.0,4,185,107,67,41,28.0,14.0,3040,non-USA,Honda Accord
Hyundai,Excel,Small,6.8,8.0,9.2,29,33,None,Front,4.0,1.5,81,5500,2710,Yes,11.9,5,168,94,63,35,26.0,11.0,2345,non-USA,Hyundai Excel
Hyundai,Excel,Small,18.0,18.8,19.6,17,26,Driver only,Rear,8.0,5.0,170,4200,1350,No,23.0,6,214,116,77,42,29.5,20.0,3910,USA,Chevrolet Caprice
Hyundai,Excel,Midsize,13.4,16.1,16.8,19,28,Driver & Passenger,Rear,6.0,3.4,160,4600,1805,Yes,15.5,4,193,101,74,43,25.0,13.0,3240,USA,Chevrolet Camaro
Hyundai,Elantra,Small,9.0,10.0,11.0,22,29,None,Front,4.0,1.8,124,6000,2745,Yes,13.7,5,172,98,66,36,28.0,12.0,2620,non-USA,Hyundai Elantra
Hyundai,Scoupe,Sporty,9.1,10.0,11.0,26,34,None,Front,4.0,1.5,92,5550,2540,Yes,11.9,4,166,94,64,34,23.5,9.0,2285,non-USA,Hyundai Scoupe
Hyundai,Sonata,Midsize,12.4,13.9,15.3,20,27,None,Front,4.0,2.0,128,6000,2335,Yes,17.2,5,184,104,69,41,31.0,14.0,2885,non-USA,Hyundai Sonata
Mazda,323,Small,7.4,8.3,9.1,29,37,None,Front,4.0,1.6,82,5000,2370,Yes,13.2,4,164,97,66,34,27.0,16.0,2325,non-USA,Mazda 323
Mazda,Festiva,Sporty,13.4,14.1,16.8,19,28,Driver & Passenger,Rear,6.0,3.4,160,4600,1805,Yes,15.5,4,193,101,74,43,25.0,13.0,3240,USA,Chevrolet Camaro
Mazda,Protege,Small,10.9,11.6,12.3,28,36,None,Front,4.0,1.8,103,5500,2220,Yes,14.5,5,172,98,66,36,26.5,13.0,2440,non-USA,Mazda Protege
Mazda,626,Compact,14.3,16.5,18.7,26,34,Driver only,Front,4.0,2.5,164,5600,2505,Yes,15.5,5,184,103,69,40,29.5,14.0,2970,non-USA,Mazda 626
Mazda,MPV,Van,16.6,19.1,21.7,18,24,None,4WD,6.0,3.0,155,5000,2240,No,19.6,7,190,110,72,39,27.5,,3735,non-USA,Mazda MPV
Mazda,RX-7,Sporty,32.5,32.5,32.5,17,25,Driver only,Rear,,1.3,255,6500,2325,Yes,20.0,2,169,96,69,37,,,2895,non-USA,Mazda RX-7
