bad_customer,credit_balance_percent,age,num_of_group1_pastdue,debt_ratio,income,num_of_loans,num_of_times_late_90days,num_of_estate_loans,num_of_group2_pastdue,num_of_dependents
1,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2.0
0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0
0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0
0,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0.0
0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0.0
0,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1.0
0,0.305682465,57,0,5710.0,,8,0,3,0,0.0
0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0
0,0.116950644,27,0,46.0,,2,0,0,0,
0,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2.0
0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0
0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0
0,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2.0
1,0.964672555,40,3,0.382964747,13700.0,9,3,1,1,2.0
0,0.019656581,76,0,477.0,0.0,6,0,1,0,0.0
0,0.548458062,64,0,0.209891754,11362.0,7,0,1,0,2.0
0,0.061086118,78,0,2058.0,,10,0,2,0,0.0
0,0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0.0
0,0.221812771,43,0,0.527887839,3280.0,7,0,1,0,2.0
0,0.602794411,25,0,0.065868263,333.0,2,0,0,0,0.0
0,0.200923382,43,0,0.430046338,12300.0,10,0,2,0,0.0
1,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2.0
0,0.9999999,39,0,0.241103559,2500.0,4,0,0,0,0.0
0,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0.0
0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0
1,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0
0,0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0.0
0,0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1.0
0,0.452515828,24,0,0.011761247,3400.0,1,0,0,0,0.0
0,0.392994586,58,2,0.436102527,5500.0,15,0,1,0,0.0
0,0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0.0
0,0.9999999,24,0,0.472703063,750.0,1,0,0,0,0.0
0,0.083418009,62,0,977.0,,6,0,1,0,0.0
0,0.186868556,57,0,0.313812313,7000.0,9,0,2,0,0.0
0,0.693329681,42,2,0.257731959,2230.0,7,0,0,0,0.0
0,0.0,64,0,0.073538769,11000.0,9,0,1,0,0.0
0,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1.0
0,0.9999999,75,1,0.134078212,3400.0,1,0,1,0,1.0
0,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0.0
0,0.304490668,52,0,0.808340474,3500.0,10,0,2,0,0.0
0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0
0,0.07289757,81,0,75.0,,7,0,0,0,0.0
0,0.469056842,31,0,0.048211004,9250.0,4,0,0,0,1.0
0,0.718705378,28,0,0.170125614,3661.0,4,0,0,0,1.0
0,0.368875933,68,0,1687.5,1.0,31,0,1,0,0.0
0,0.000602723,70,0,0.177787036,16800.0,12,0,1,0,2.0
0,0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0.0
0,0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0.0
0,0.834048027,38,0,0.393662026,13000.0,13,0,2,0,2.0
