date,rate
2020-02-28,23241.0
2020-02-27,23241.5
2020-02-26,23241.0
2020-02-25,23271.0
2020-02-24,23248.5
2020-02-23,23243.5
2020-02-22,23237.5
2020-02-21,23228.0
2020-02-20,23243.5
2020-02-19,23229.5
2020-02-18,23246.0
2020-02-17,23240.0
2020-02-16,23255.0
2020-02-15,23242.5
2020-02-14,23261.5
2020-02-13,23232.5
2020-02-12,23222.0
2020-02-11,23221.0
2020-02-10,23240.0
2020-02-09,23260.0
2020-02-08,23223.0
2020-02-07,23183.0
2020-02-06,23170.5
2020-02-05,23170.5
2020-02-04,23170.5
2020-02-03,23170.5
2020-02-02,23170.5
2020-02-01,23170.5
2020-01-31,23171.0
2020-01-30,23170.0
2020-01-29,23174.0
2020-01-28,23172.0
2020-01-27,23175.0
2020-01-26,23176.0
2020-01-25,23174.0
2020-01-24,23177.0
2020-01-23,23174.0
2020-01-22,23176.0
2020-01-21,23176.0
2020-01-20,23177.0
2020-01-19,23172.0
2020-01-18,23169.0
2020-01-17,23172.5
