user_id,age,sex,occupation
1,24,M,technician
2,53,F,other
3,23,M,writer
4,24,M,technician
5,33,F,other
6,42,M,executive
7,57,M,administrator
8,36,M,administrator
9,29,M,student
10,53,M,lawyer
11,39,F,other
12,28,F,other
13,47,M,educator
14,45,M,scientist
15,49,F,educator
16,21,M,entertainment
17,30,M,programmer
18,35,F,other
19,40,M,librarian
20,42,F,homemaker
21,26,M,writer
22,25,M,writer
23,30,F,artist
24,21,F,artist
25,39,M,engineer
26,49,M,engineer
27,40,F,librarian
28,32,M,writer
29,41,M,programmer
30,7,M,student
31,24,M,artist
32,28,F,student
33,23,M,student
34,38,F,administrator
35,20,F,homemaker
36,19,F,student
37,23,M,student
38,28,F,other
39,41,M,entertainment
40,38,M,scientist
41,33,M,engineer
42,30,M,administrator
43,29,F,librarian
44,26,M,technician
45,29,M,programmer
46,27,F,marketing
47,53,M,marketing
48,45,M,administrator
49,23,F,student
50,21,M,writer
51,28,M,educator
52,18,F,student
53,26,M,programmer
54,22,M,executive
55,37,M,programmer
56,25,M,librarian
57,16,M,none
58,27,M,programmer
59,49,M,educator
60,50,M,healthcare
61,36,M,engineer
62,27,F,administrator
63,31,M,marketing
64,32,M,educator
65,51,F,educator
66,23,M,student
67,17,M,student
68,19,M,student
69,24,M,engineer
70,27,M,engineer
71,39,M,scientist
72,48,F,administrator
73,24,M,student
74,39,M,scientist
75,24,M,entertainment
76,20,M,student
77,30,M,technician
78,26,M,administrator
79,39,F,administrator
80,34,F,administrator
81,21,M,student
82,50,M,programmer
83,40,M,other
84,32,M,executive
85,51,M,educator
86,26,M,administrator
87,47,M,administrator
88,49,F,librarian
89,43,F,administrator
90,60,M,educator
91,55,M,marketing
92,32,M,entertainment
93,48,M,executive
94,26,M,student
95,31,M,administrator
96,25,F,artist
97,43,M,artist
98,49,F,executive
99,20,M,student
100,36,M,executive
101,15,M,student
102,38,M,programmer
103,26,M,student
104,27,M,student
105,24,M,engineer
106,61,M,retired
107,39,M,scientist
108,44,M,educator
109,29,M,other
110,19,M,student
111,57,M,engineer
112,30,M,salesman
113,47,M,executive
114,27,M,programmer
115,31,M,engineer
116,40,M,healthcare
117,20,M,student
118,21,M,administrator
119,32,M,programmer
120,47,F,other
121,54,M,librarian
122,32,F,writer
123,48,F,artist
124,34,M,student
125,30,M,lawyer
126,28,F,lawyer
127,33,M,none
128,24,F,marketing
129,36,F,marketing
130,20,M,none
131,59,F,administrator
132,24,M,other
133,53,M,engineer
134,31,M,programmer
135,23,M,student
136,51,M,other
137,50,M,educator
138,46,M,doctor
139,20,M,student
140,30,F,student
141,49,M,programmer
142,13,M,other
143,42,M,technician
144,53,M,programmer
145,31,M,entertainment
146,45,M,artist
147,40,F,librarian
148,33,M,engineer
149,35,F,marketing
150,20,F,artist
151,38,F,administrator
152,33,F,educator
153,25,M,student
154,25,M,student
155,32,F,other
156,25,M,educator
157,57,M,engineer
158,50,M,educator
159,23,F,student
160,27,M,programmer
161,50,M,lawyer
162,25,M,artist
163,49,M,administrator
164,47,M,healthcare
165,20,F,other
166,47,M,educator
167,37,M,other
168,48,M,other
169,52,F,other
170,53,F,healthcare
171,48,F,educator
172,55,M,marketing
173,56,M,other
174,30,F,administrator
175,26,F,scientist
176,28,M,scientist
177,20,M,programmer
178,26,M,other
179,15,M,entertainment
180,22,F,administrator
181,26,M,executive
182,36,M,programmer
183,33,M,scientist
184,37,M,librarian
185,53,F,librarian
186,39,F,executive
187,26,M,educator
188,42,M,student
189,32,M,artist
190,30,M,administrator
191,33,M,administrator
192,42,M,educator
193,29,M,student
194,38,M,administrator
195,42,M,scientist
196,49,M,writer
197,55,M,technician
198,21,F,student
199,30,M,writer
200,40,M,programmer
201,27,M,writer
