date,quantity
02/03/2015,27.02
03/03/2015,33.58
04/03/2015,44.75
05/03/2015,47.12
06/03/2015,53.81
07/03/2015,15.03
08/03/2015,26.45
09/03/2015,28.40
10/03/2015,33.70
11/03/2015,38.67
12/03/2015,36.34
13/03/2015,35.98
14/03/2015,30.31
15/03/2015,21.86
16/03/2015,38.07
17/03/2015,54.40
18/03/2015,45.20
19/03/2015,45.85
20/03/2015,49.36
21/03/2015,20.03
22/03/2015,22.84
23/03/2015,31.46
24/03/2015,38.14
25/03/2015,50.82
26/03/2015,53.89
27/03/2015,60.41
28/03/2015,25.18
29/03/2015,16.73
30/03/2015,48.65
31/03/2015,48.83
01/04/2015,51.39
02/04/2015,49.86
03/04/2015,40.67
04/04/2015,17.73
05/04/2015,28.88
06/04/2015,43.92
07/04/2015,37.16
08/04/2015,46.38
09/04/2015,48.06
10/04/2015,52.37
11/04/2015,26.33
12/04/2015,15.48
13/04/2015,39.50
14/04/2015,46.88
15/04/2015,42.09
16/04/2015,43.93
17/04/2015,63.30
18/04/2015,30.76
19/04/2015,24.87
20/04/2015,45.23
21/04/2015,39.21
22/04/2015,37.37
23/04/2015,41.77
24/04/2015,66.54
25/04/2015,22.36
26/04/2015,28.18
27/04/2015,33.26
28/04/2015,32.38
29/04/2015,50.39
30/04/2015,43.37
01/05/2015,44.02
02/05/2015,28.17
03/05/2015,14.09
04/05/2015,46.66
05/05/2015,36.71
06/05/2015,41.04
07/05/2015,41.17
08/05/2015,43.54
09/05/2015,20.92
10/05/2015,23.72
11/05/2015,33.61
12/05/2015,50.77
13/05/2015,48.06
14/05/2015,56.04
15/05/2015,64.12
16/05/2015,21.70
17/05/2015,33.83
18/05/2015,28.14
19/05/2015,10.49
20/05/2015,62.78
21/05/2015,66.32
22/05/2015,53.02
23/05/2015,21.91
24/05/2015,26.26
25/05/2015,31.97
26/05/2015,56.87
27/05/2015,50.99
28/05/2015,46.37
29/05/2015,61.41
30/05/2015,20.27
31/05/2015,24.14
01/06/2015,49.75
02/06/2015,57.13
03/06/2015,53.56
04/06/2015,55.47
05/06/2015,48.73
06/06/2015,22.94
07/06/2015,23.04
08/06/2015,67.21
09/06/2015,48.18
10/06/2015,49.43
11/06/2015,51.39
12/06/2015,47.68
13/06/2015,15.26
14/06/2015,18.34
15/06/2015,37.92
16/06/2015,47.66
17/06/2015,50.54
18/06/2015,61.10
19/06/2015,59.66
20/06/2015,22.67
21/06/2015,23.87
22/06/2015,43.90
23/06/2015,54.40
24/06/2015,41.72
25/06/2015,37.18
26/06/2015,41.93
27/06/2015,15.68
28/06/2015,18.03
29/06/2015,40.17
30/06/2015,52.16
01/07/2015,47.80
02/07/2015,55.43
