"date","consumption","temp","season"
1987-01-01,130,31.5,"winter"
1987-01-02,150,33,"winter"
1987-01-03,101,33,"winter"
1987-01-04,135,29,"winter"
1987-01-05,126,32,"winter"
1987-01-06,130,40,"winter"
1987-01-07,129,34.5,"winter"
1987-01-08,109,29,"winter"
1987-01-09,125,26.5,"winter"
1987-01-10,153,32.5,"winter"
1987-01-11,124,29.5,"winter"
1987-01-12,111,34.5,"winter"
1987-01-13,104,34,"winter"
1987-01-14,118,37.5,"winter"
1987-01-15,109,32.5,"winter"
1987-01-16,125,25,"winter"
1987-01-17,128,27,"winter"
1987-01-18,141,17.5,"winter"
1987-01-19,130,23,"winter"
1987-01-20,133,20.5,"winter"
1987-01-21,115,22,"winter"
1987-01-22,121,19.5,"winter"
1987-01-23,107,2.5,"winter"
1987-01-24,123,2,"winter"
1987-01-25,107,9.5,"winter"
1987-01-26,116,16,"winter"
1987-01-27,130,17.5,"winter"
1987-01-28,114,29.5,"winter"
1987-01-29,123,29.5,"winter"
1987-01-30,103,32.5,"winter"
1987-01-31,115,27.5,"winter"
1987-02-01,127,41,"winter"
1987-02-02,131,36.5,"winter"
1987-02-03,112,34,"winter"
1987-02-04,126,31.5,"winter"
1987-02-05,127,29.5,"winter"
1987-02-06,103,37,"winter"
1987-02-07,128,40.5,"winter"
1987-02-08,133,32.5,"winter"
1987-02-09,115,24.5,"winter"
1987-02-10,124,35,"winter"
1987-02-11,117,39.5,"winter"
1987-02-12,116,34,"winter"
1987-02-13,128,34.5,"winter"
1987-02-14,119,31.5,"winter"
1987-02-15,115,23.5,"winter"
1987-02-16,107,24,"winter"
1987-02-17,111,31.5,"winter"
1987-02-18,116,31.5,"winter"
1987-02-19,115,34,"winter"
1987-02-20,124,32.5,"winter"
1987-02-21,119,38,"winter"
1987-02-22,126,35.5,"winter"
1987-02-23,147,35.5,"winter"
1987-02-24,118,31.5,"winter"
1987-02-25,138,34.5,"winter"
1987-02-26,119,36,"winter"
1987-02-27,100,39.5,"winter"
1987-02-28,119,40,"winter"
1987-03-01,123,39,"winter"
1987-03-02,125,41,"winter"
1987-03-03,124,36.5,"winter"
