Year,Month,Product Name,Country Name,Month number,Value,Feature,Unit
2010,January,SABLEFISH FRESH,UNITED ARAB EMIRATES,1,2297,EXP Quantity,kg
2010,January,SABLEFISH FRESH,JAPAN,1,16025,EXP Quantity,kg
2010,January,SABLEFISH FRESH,JAPAN,1,63437,EXP Quantity,kg
2010,January,MONKFISH FRESH,CANADA,1,579,EXP Quantity,kg
2010,January,MONKFISH FRESH,CANADA,1,7975,EXP Quantity,kg
2010,January,MONKFISH FRESH,NETHERLANDS,1,389,EXP Quantity,kg
2010,January,MONKFISH FRESH,FRANCE,1,2193,EXP Quantity,kg
2010,January,MONKFISH FRESH,FRANCE,1,1290,EXP Quantity,kg
2010,January,MONKFISH FRESH,FRANCE,1,4170,EXP Quantity,kg
2010,January,MONKFISH FRESH,SPAIN,1,535,EXP Quantity,kg
2010,January,MONKFISH FRESH,PORTUGAL,1,1295,EXP Quantity,kg
2010,January,MONKFISH FRESH,ITALY,1,6026,EXP Quantity,kg
2010,January,MONKFISH FRESH,ITALY,1,2430,EXP Quantity,kg
2010,January,MONKFISH FRESH,ITALY,1,2364,EXP Quantity,kg
2010,January,MONKFISH FRESH,SOUTH KOREA,1,14740,EXP Quantity,kg
2010,January,MONKFISH FRESH,SOUTH KOREA,1,69400,EXP Quantity,kg
2010,January,MONKFISH FRESH,JAPAN,1,1125,EXP Quantity,kg
2010,January,WHITEFISH FRESH,CANADA,1,8696,IMP Quantity,kg
2010,January,WHITEFISH FRESH,CANADA,1,36331,IMP Quantity,kg
2010,January,WHITEFISH FRESH,CANADA,1,134532,IMP Quantity,kg
2010,January,SABLEFISH FRESH,CANADA,1,1100,IMP Quantity,kg
2010,January,SABLEFISH FRESH,CANADA,1,4981,IMP Quantity,kg
2010,January,MONKFISH FRESH,CANADA,1,5715,IMP Quantity,kg
2010,January,WHITEFISH FROZEN,CANADA,1,12428,IMP Quantity,kg
2010,January,WHITEFISH FROZEN,CANADA,1,25206,IMP Quantity,kg
2010,January,WHITEFISH FROZEN,CANADA,1,544,IMP Quantity,kg
2010,January,WHITEFISH FROZEN,BANGLADESH,1,7790,IMP Quantity,kg
2010,January,WHITEFISH FROZEN,SOUTH KOREA,1,1000,IMP Quantity,kg
2010,January,MONKFISH FROZEN,NETHERLANDS,1,9896,EXP Quantity,kg
2010,January,MONKFISH FROZEN,BELGIUM,1,5000,EXP Quantity,kg
2010,January,MONKFISH FROZEN,FRANCE,1,23697,EXP Quantity,kg
2010,January,MONKFISH FROZEN,CHINA,1,2355,IMP Quantity,kg
2010,January,MONKFISH FROZEN,SOUTH KOREA,1,127720,EXP Quantity,kg
2010,January,MONKFISH FROZEN,JAPAN,1,170,EXP Quantity,kg
2010,January,BUTTERFISH FROZEN,GUYANA,1,2232,IMP Quantity,kg
2010,January,BUTTERFISH FROZEN,SURINAME,1,1225,IMP Quantity,kg
2010,January,BUTTERFISH FROZEN,ECUADOR,1,21305,IMP Quantity,kg
2010,January,BUTTERFISH FROZEN,ECUADOR,1,2268,IMP Quantity,kg
2010,January,SABLEFISH FROZEN,CANADA,1,3402,IMP Quantity,kg
2010,January,SABLEFISH FROZEN,CHINA - HONG KONG,1,8165,EXP Quantity,kg
2010,January,SABLEFISH FROZEN,TAIWAN,1,805,IMP Quantity,kg
2010,January,SABLEFISH FROZEN,JAPAN,1,18000,EXP Quantity,kg
2010,January,SABLEFISH FROZEN,JAPAN,1,45391,EXP Quantity,kg
2010,January,SABLEFISH FROZEN,JAPAN,1,16158,EXP Quantity,kg
2010,January,SCORPIONFISH (SCORPAENIDAE) FROZEN,MEXICO,1,14505,EXP Quantity,kg
2010,January,SCORPIONFISH (SCORPAENIDAE) FROZEN,MEXICO,1,20758,EXP Quantity,kg
2010,January,WHITEFISH FILLET FRESH,CANADA,1,39959,IMP Quantity,kg
2010,January,WHITEFISH FILLET FRESH,CANADA,1,28903,IMP Quantity,kg
2010,January,WOLFFISH FILLET BLOCKS FROZEN > 4.5KG,CHINA,1,20430,IMP Quantity,kg
2010,January,WOLFFISH FILLET FROZEN,ICELAND,1,1361,IMP Quantity,kg
2010,January,WOLFFISH FILLET FROZEN,CHINA,1,18371,IMP Quantity,kg
2010,January,CRAWFISH FRESHWATER FROZEN,SPAIN,1,37013,IMP Quantity,kg
2010,January,CRAWFISH FRESHWATER FROZEN,CHINA,1,9688,IMP Quantity,kg
2010,January,CRAWFISH FRESHWATER PEELED,CHINA,1,38483,IMP Quantity,kg
2010,January,CRAWFISH FRESHWATER PEELED,CHINA,1,92179,IMP Quantity,kg
2010,January,CRAWFISH FRESHWATER PEELED,CHINA,1,82604,IMP Quantity,kg
2010,January,CRAWFISH FRESHWATER PEELED,JAPAN,1,3892,IMP Quantity,kg
