date,log
10/12/2007,9.590761139
11/12/2007,8.519590316
12/12/2007,8.183676583
13/12/2007,8.072467369
14/12/2007,7.893572074
15/12/2007,7.783640596
16/12/2007,8.414052432
17/12/2007,8.829226355
18/12/2007,8.382518288
19/12/2007,8.069655307
20/12/2007,7.879291485
21/12/2007,7.761744985
22/12/2007,7.529406458
23/12/2007,8.38526052
24/12/2007,8.620110725
25/12/2007,7.852439085
26/12/2007,7.853993087
27/12/2007,8.051978079
28/12/2007,7.926602599
29/12/2007,7.838343316
30/12/2007,9.703144581
31/12/2007,9.385972941
01/01/2008,8.293799609
02/01/2008,8.43468077
03/01/2008,8.262042844
04/01/2008,8.106816039
05/01/2008,7.950149888
06/01/2008,9.509259076
07/01/2008,8.846784667
08/01/2008,8.430545385
09/01/2008,8.248267447
10/01/2008,8.28172399
11/01/2008,8.292798858
12/01/2008,8.199189359
13/01/2008,9.996522419
14/01/2008,10.12707101
15/01/2008,8.933796044
16/01/2008,8.566173814
17/01/2008,8.547722396
18/01/2008,8.399760095
19/01/2008,8.223090551
20/01/2008,8.838986793
21/01/2008,10.89720218
22/01/2008,9.444938073
23/01/2008,8.923324744
24/01/2008,8.543445563
25/01/2008,8.495560891
26/01/2008,8.417372856
27/01/2008,8.572627898
28/01/2008,8.736489351
29/01/2008,8.634086943
30/01/2008,8.673512946
01/02/2008,8.824236617
02/02/2008,8.537975731
03/02/2008,9.698061122
04/02/2008,12.09745684
05/02/2008,10.63527836
06/02/2008,9.691716588
07/02/2008,9.315600883
08/02/2008,8.970813341
09/02/2008,8.589141691
10/02/2008,8.617400452
11/02/2008,8.616314282
12/02/2008,8.215547412
13/02/2008,8.064950892
14/02/2008,8.11342664
15/02/2008,7.799343398
16/02/2008,7.62754439
17/02/2008,7.555905094
18/02/2008,7.71154898
19/02/2008,7.788626066
20/02/2008,7.708410667
21/02/2008,7.768533301
22/02/2008,7.695303135
23/02/2008,7.378383713
24/02/2008,7.910590612
25/02/2008,7.626570206
26/02/2008,7.573531263
27/02/2008,7.567862605
29/02/2008,7.552237288
02/03/2008,7.336936914
05/03/2008,8.12474302
06/03/2008,7.887584032
07/03/2008,7.819636302
08/03/2008,7.383989458
09/03/2008,7.814399634
10/03/2008,7.542213463
11/03/2008,7.548555979
12/03/2008,7.688913337
13/03/2008,7.477038472
14/03/2008,7.358830898
15/03/2008,7.032624261
16/03/2008,7.118016204
17/03/2008,7.349873705
18/03/2008,7.326465614
19/03/2008,7.363913501
20/03/2008,7.277938573
21/03/2008,7.251344983
22/03/2008,7.002155954
23/03/2008,7.163946684
24/03/2008,7.759187439
25/03/2008,7.518607217
26/03/2008,7.41397029
27/03/2008,7.442492723
28/03/2008,7.228388452
29/03/2008,6.991176887
30/03/2008,7.211556733
31/03/2008,7.311218384
01/04/2008,7.349230825
02/04/2008,7.514254653
03/04/2008,7.393263095
04/04/2008,7.286191715
05/04/2008,7.273092596
06/04/2008,7.168579897
07/04/2008,7.611347717
08/04/2008,7.617759577
09/04/2008,7.425953657
10/04/2008,8.182000136
11/04/2008,7.399398083
12/04/2008,7.106606138
13/04/2008,7.080867897
14/04/2008,7.421177529
15/04/2008,7.491645474
16/04/2008,7.385851078
17/04/2008,7.68294317
18/04/2008,7.688913337
19/04/2008,7.259116128
20/04/2008,8.144969417
21/04/2008,8.713910628
