iter	Passed	Remaining
0	7	3588
1	14	3501
2	21	3553
3	28	3495
4	34	3422
5	42	3538
6	49	3501
7	53	3275
8	56	3066
9	58	2877
10	61	2740
11	64	2613
12	67	2521
13	69	2427
14	72	2337
15	74	2254
16	77	2190
17	79	2121
18	81	2056
19	83	2001
20	85	1947
21	87	1895
22	89	1848
23	91	1807
24	93	1773
25	95	1740
26	97	1706
27	99	1673
28	101	1643
29	102	1613
30	104	1586
31	107	1565
32	110	1560
33	112	1545
34	115	1539
35	118	1528
36	120	1510
37	122	1493
38	125	1477
39	127	1464
40	129	1448
41	131	1435
42	133	1423
43	136	1410
44	138	1398
45	140	1385
46	142	1374
47	144	1362
48	146	1351
49	148	1340
50	151	1330
51	153	1321
52	155	1310
53	157	1300
54	159	1290
55	161	1282
56	164	1277
57	167	1275
58	170	1271
59	172	1265
60	174	1258
61	176	1249
62	179	1245
63	181	1239
64	184	1232
65	186	1226
66	188	1220
67	191	1214
68	193	1211
69	196	1207
70	199	1204
71	202	1201
72	206	1206
73	209	1203
74	211	1196
75	213	1192
76	216	1186
77	218	1181
78	220	1175
79	222	1170
80	225	1165
81	227	1159
82	229	1154
83	233	1157
84	236	1153
85	238	1148
86	240	1142
87	242	1136
88	244	1130
89	247	1125
90	249	1119
91	251	1114
92	253	1109
93	255	1103
94	257	1099
95	260	1094
96	262	1088
97	264	1083
98	266	1077
99	268	1072
100	270	1067
101	272	1062
102	274	1057
103	276	1051
104	278	1046
105	280	1041
106	282	1038
107	287	1041
108	289	1040
109	292	1035
110	294	1031
111	296	1027
112	298	1023
113	301	1019
114	303	1014
115	305	1010
116	307	1007
117	309	1003
118	312	999
119	314	995
120	316	991
121	318	987
122	320	982
123	322	978
124	324	974
125	326	969
126	328	965
127	330	961
128	335	964
129	339	965
130	341	961
131	344	959
132	346	955
133	348	952
134	350	948
135	353	945
136	355	942
137	358	939
138	360	936
139	362	932
140	365	930
141	368	928
142	372	930
143	375	928
144	378	926
145	381	924
146	385	925
147	387	922
148	390	919
149	394	919
150	397	919
151	401	919
152	404	917
153	407	916
154	411	914
155	414	913
156	417	912
157	419	908
158	422	905
159	424	902
160	427	899
161	429	896
162	431	892
163	434	889
164	436	886
165	439	883
166	441	880
167	444	877
168	446	874
169	449	872
170	453	872
171	456	870
172	459	867
173	461	865
174	465	864
175	470	866
176	475	867
177	477	863
178	480	861
179	482	857
180	485	854
181	487	851
182	489	848
183	492	845
184	494	842
185	496	838
186	499	835
187	501	832
188	503	828
189	505	824
190	507	821
191	510	819
192	513	816
193	515	813
194	518	810
195	520	807
196	522	803
197	524	799
198	526	796
199	528	792
200	530	789
201	533	787
202	535	783
203	537	779
204	540	777
205	542	774
206	544	771
207	547	768
208	549	764
209	551	761
210	553	757
211	555	755
212	558	752
213	560	748
214	562	745
215	565	742
216	567	740
217	569	736
218	571	733
219	574	730
220	575	727
221	577	723
222	579	720
223	582	717
224	584	714
225	587	712
226	589	709
227	592	706
228	594	703
229	597	700
230	599	697
231	601	694
232	603	691
233	606	689
234	608	686
235	611	683
236	613	681
237	615	677
238	618	675
239	621	673
240	624	671
241	626	668
242	628	665
243	631	662
244	634	660
245	637	657
246	639	654
247	641	651
248	643	648
249	645	645
250	647	642
251	649	639
252	651	635
253	653	632
254	655	629
255	657	626
256	659	623
257	661	620
258	663	617
259	665	614
260	667	611
261	669	608
262	671	605
263	675	603
264	677	600
265	679	598
266	682	595
267	684	592
268	686	589
269	688	586
270	691	583
271	693	581
272	695	578
273	697	575
274	699	572
275	701	569
276	704	566
277	706	564
278	708	561
279	711	558
280	714	556
281	716	553
282	718	550
283	720	548
284	723	545
285	726	543
286	729	541
287	733	539
288	735	537
289	738	535
290	741	532
291	743	529
292	745	526
293	747	524
294	750	521
295	752	518
296	754	515
297	756	513
298	759	510
299	762	508
300	764	505
301	766	502
302	769	499
303	771	497
304	773	494
305	775	491
306	777	488
307	779	485
308	781	482
309	783	480
310	785	477
311	788	475
312	790	472
313	793	470
314	797	468
315	802	467
316	806	465
317	810	463
318	813	461
319	816	459
320	821	458
321	825	456
322	829	454
323	832	452
324	836	450
325	838	447
326	842	445
327	847	444
328	854	444
329	857	441
330	860	439
331	863	436
332	866	434
333	869	432
334	871	429
335	874	426
336	876	423
337	878	420
338	880	418
339	882	415
340	885	412
341	887	410
342	889	407
343	892	404
344	894	401
345	896	398
346	898	396
347	900	393
348	902	390
349	904	387
350	908	385
351	910	382
352	913	380
353	915	377
354	917	374
355	921	372
356	924	370
357	927	367
358	929	365
359	932	362
360	934	359
361	936	357
362	939	354
363	941	351
364	943	348
365	945	346
366	947	343
367	950	341
368	968	343
369	971	341
370	974	338
371	976	336
372	980	333
373	983	331
374	987	329
375	990	326
376	993	323
377	995	321
378	998	318
379	1001	316
380	1004	313
381	1006	310
382	1011	308
383	1017	307
384	1021	305
385	1023	302
386	1026	299
387	1029	297
388	1033	294
389	1036	292
390	1039	289
391	1042	287
392	1045	284
