iter	Logloss	F1	CrossEntropy
0	0.6456139003	0.9400921659	0.6456139003
1	0.6089117707	0.9403669725	0.6089117707
2	0.5659776973	0.9403669725	0.5659776973
3	0.5397885229	0.9406392694	0.5397885229
4	0.5112625066	0.9473684211	0.5112625066
5	0.47715208	0.9495412844	0.47715208
6	0.4522595143	0.9452054795	0.4522595143
7	0.4273070487	0.9449541284	0.4273070487
8	0.4053162755	0.9493087558	0.4053162755
9	0.3933744106	0.9471264368	0.3933744106
10	0.3782928096	0.9515011547	0.3782928096
11	0.3568787093	0.9515011547	0.3568787093
12	0.3402811618	0.9515011547	0.3402811618
13	0.3266591065	0.9490740741	0.3266591065
14	0.3116974343	0.9559164733	0.3116974343
15	0.2967238848	0.9605568445	0.2967238848
16	0.2849169336	0.9581395349	0.2849169336
17	0.2706620127	0.9581395349	0.2706620127
18	0.2568962314	0.9605568445	0.2568962314
19	0.2496915552	0.9651972158	0.2496915552
20	0.2422042953	0.9627906977	0.2422042953
21	0.2336821264	0.9675925926	0.2336821264
22	0.2233391782	0.9653579677	0.2233391782
23	0.2149579938	0.969837587	0.2149579938
24	0.2079206818	0.9675925926	0.2079206818
25	0.2020064447	0.9720930233	0.2020064447
26	0.1954370324	0.9720930233	0.1954370324
27	0.1918267223	0.969837587	0.1918267223
28	0.1867460618	0.969837587	0.1867460618
29	0.1824841428	0.9720930233	0.1824841428
30	0.1739487124	0.976635514	0.1739487124
31	0.1690137873	0.9743589744	0.1690137873
32	0.1646866061	0.976635514	0.1646866061
33	0.1609515962	0.976635514	0.1609515962
34	0.1574115513	0.976635514	0.1574115513
35	0.1523539944	0.9789227166	0.1523539944
36	0.1475195287	0.9789227166	0.1475195287
37	0.1454016307	0.9789227166	0.1454016307
38	0.1426147733	0.9789227166	0.1426147733
39	0.1404519827	0.9789227166	0.1404519827
40	0.1383765766	0.9789227166	0.1383765766
41	0.1362129526	0.9789227166	0.1362129526
42	0.1317116331	0.9789227166	0.1317116331
43	0.129749997	0.9789227166	0.129749997
44	0.1287187467	0.9789227166	0.1287187467
45	0.1274962842	0.9789227166	0.1274962842
46	0.1257038619	0.9789227166	0.1257038619
47	0.1225412749	0.9789227166	0.1225412749
48	0.1207126011	0.9789227166	0.1207126011
49	0.1179105386	0.9789227166	0.1179105386
50	0.1158334159	0.9789227166	0.1158334159
51	0.1139527916	0.9789227166	0.1139527916
52	0.112580476	0.9789227166	0.112580476
53	0.1107012916	0.9836065574	0.1107012916
54	0.1075758067	0.985915493	0.1075758067
55	0.1053251195	0.985915493	0.1053251195
56	0.103957303	0.985915493	0.103957303
57	0.1016126717	0.9906103286	0.1016126717
58	0.1012458816	0.9906103286	0.1012458816
59	0.0991486399	0.9906103286	0.0991486399
60	0.09746368507	0.9906103286	0.09746368507
61	0.09513373747	0.9906103286	0.09513373747
62	0.09464217492	0.9906103286	0.09464217492
63	0.09289451973	0.9906103286	0.09289451973
64	0.09233812674	0.9906103286	0.09233812674
65	0.09180060943	0.9929411765	0.09180060943
66	0.09047387288	0.9929411765	0.09047387288
67	0.08987205206	0.9929411765	0.08987205206
68	0.089440506	0.9929411765	0.089440506
69	0.08825925137	0.9929411765	0.08825925137
70	0.08771765599	0.9929411765	0.08771765599
71	0.08722654286	0.9929411765	0.08722654286
72	0.08648430799	0.9929411765	0.08648430799
73	0.0861133772	0.9929411765	0.0861133772
74	0.08566578893	0.9929411765	0.08566578893
75	0.08521711857	0.9929411765	0.08521711857
76	0.08469495861	0.9929411765	0.08469495861
77	0.08400012446	0.9929411765	0.08400012446
78	0.08328347383	0.9929411765	0.08328347383
79	0.08236537442	0.9929411765	0.08236537442
80	0.08164081059	0.9929411765	0.08164081059
81	0.08086189626	0.9929411765	0.08086189626
82	0.08024087458	0.9929411765	0.08024087458
83	0.07980931084	0.9929411765	0.07980931084
84	0.07810329534	0.9929411765	0.07810329534
85	0.07772152081	0.9929411765	0.07772152081
86	0.07688380922	0.9929411765	0.07688380922
87	0.07643567695	0.9929411765	0.07643567695
88	0.07575046591	0.9929411765	0.07575046591
89	0.07512555763	0.9929411765	0.07512555763
90	0.07497272567	0.9929411765	0.07497272567
91	0.07429536443	0.9929411765	0.07429536443
92	0.0734446483	0.9929411765	0.0734446483
93	0.07314975042	0.9929411765	0.07314975042
94	0.07257475362	0.9929411765	0.07257475362
95	0.07175219809	0.9929411765	0.07175219809
96	0.0705604148	0.9929411765	0.0705604148
97	0.07017801993	0.9929411765	0.07017801993
98	0.06997708471	0.9929411765	0.06997708471
99	0.06922632785	0.9929411765	0.06922632785
100	0.06870008567	0.9929411765	0.06870008567
101	0.06781547118	0.9929411765	0.06781547118
102	0.06697948346	0.9929411765	0.06697948346
103	0.06646777165	0.9929411765	0.06646777165
104	0.06586838433	0.9952830189	0.06586838433
105	0.06508421164	0.9952830189	0.06508421164
106	0.06439916283	0.9952830189	0.06439916283
107	0.06414570377	0.9952830189	0.06414570377
108	0.06348483437	0.9952830189	0.06348483437
109	0.06319728907	0.9952830189	0.06319728907
110	0.06292503669	0.9952830189	0.06292503669
111	0.06258555765	0.9952830189	0.06258555765
112	0.06221259339	0.9952830189	0.06221259339
113	0.0616553566	0.9952830189	0.0616553566
114	0.06102188721	0.9952830189	0.06102188721
115	0.06069287768	0.9952830189	0.06069287768
116	0.06026137064	0.9952830189	0.06026137064
117	0.05993502405	0.9952830189	0.05993502405
118	0.05949420026	0.9952830189	0.05949420026
119	0.05893311894	0.9952830189	0.05893311894
120	0.0583556483	0.9952830189	0.0583556483
121	0.05809446122	0.9952830189	0.05809446122
122	0.05764520596	0.9952830189	0.05764520596
123	0.05738789198	0.9952830189	0.05738789198
124	0.05700468297	0.9952830189	0.05700468297
125	0.05669469127	0.9952830189	0.05669469127
126	0.05599005427	0.9952830189	0.05599005427
127	0.05582580908	0.9952830189	0.05582580908
128	0.05536750835	0.9952830189	0.05536750835
129	0.05492471384	0.9952830189	0.05492471384
130	0.0546696054	0.9952830189	0.0546696054
131	0.05431349799	0.9952830189	0.05431349799
132	0.05409653823	0.9952830189	0.05409653823
133	0.05395155863	0.9952830189	0.05395155863
134	0.05354880674	0.9952830189	0.05354880674
135	0.05348584958	0.9952830189	0.05348584958
136	0.05328878243	0.9952830189	0.05328878243
137	0.05284153809	0.9952830189	0.05284153809
138	0.05253228316	0.9952830189	0.05253228316
139	0.05230805596	0.9952830189	0.05230805596
140	0.05183004502	0.9952830189	0.05183004502
141	0.05137349348	0.9952830189	0.05137349348
142	0.05122297447	0.9952830189	0.05122297447
143	0.05068870921	0.9952830189	0.05068870921
144	0.04998786891	0.9952830189	0.04998786891
145	0.04975691699	0.9952830189	0.04975691699
146	0.04939223315	0.9952830189	0.04939223315
147	0.0489260405	0.9952830189	0.0489260405
148	0.04880547202	0.9952830189	0.04880547202
149	0.04838811085	0.9952830189	0.04838811085
150	0.04830591591	0.9952830189	0.04830591591
151	0.0481662641	0.9952830189	0.0481662641
152	0.04814074543	0.9952830189	0.04814074543
153	0.04776981572	0.9952830189	0.04776981572
154	0.04736486061	0.9952830189	0.04736486061
155	0.0467812781	0.9952830189	0.0467812781
156	0.04623106296	0.9952830189	0.04623106296
157	0.04595680066	0.9952830189	0.04595680066
158	0.04550016447	0.9952830189	0.04550016447
159	0.04536151819	0.9952830189	0.04536151819
160	0.0450632431	0.9952830189	0.0450632431
161	0.04459677184	0.9952830189	0.04459677184
162	0.04432065229	0.9952830189	0.04432065229
163	0.04406243006	0.9952830189	0.04406243006
164	0.04404122333	0.9952830189	0.04404122333
165	0.04389851257	0.9952830189	0.04389851257
166	0.04368300184	0.9952830189	0.04368300184
167	0.04354173222	0.9952830189	0.04354173222
168	0.04322445555	0.9952830189	0.04322445555
169	0.043074417	0.9952830189	0.043074417
170	0.04258451453	0.9952830189	0.04258451453
171	0.04226632464	0.9952830189	0.04226632464
172	0.04210648528	0.9952830189	0.04210648528
173	0.04193461255	0.9952830189	0.04193461255
174	0.04185905432	0.9952830189	0.04185905432
175	0.04184602814	0.9952830189	0.04184602814
176	0.04141272318	0.9976359338	0.04141272318
177	0.04131348153	0.9952830189	0.04131348153
178	0.04106235185	0.9976359338	0.04106235185
179	0.04076964668	0.9952830189	0.04076964668
180	0.04042918343	0.9952830189	0.04042918343
181	0.04019080939	0.9952830189	0.04019080939
182	0.04012853291	0.9952830189	0.04012853291
183	0.03982922066	0.9976359338	0.03982922066
184	0.03973436454	0.9976359338	0.03973436454
185	0.039529186	0.9976359338	0.039529186
186	0.03911376792	0.9976359338	0.03911376792
187	0.03892480759	0.9976359338	0.03892480759
188	0.03864431382	0.9952830189	0.03864431382
189	0.03844304091	0.9976359338	0.03844304091
190	0.03811671417	0.9976359338	0.03811671417
191	0.03804370956	0.9976359338	0.03804370956
192	0.03794249015	0.9976359338	0.03794249015
193	0.0376633461	0.9976359338	0.0376633461
194	0.03755606229	0.9976359338	0.03755606229
195	0.03749221202	0.9976359338	0.03749221202
196	0.03722384972	0.9976359338	0.03722384972
197	0.03672964226	0.9976359338	0.03672964226
198	0.03663263281	0.9976359338	0.03663263281
199	0.03639354168	0.9976359338	0.03639354168
200	0.03614724156	0.9952830189	0.03614724156
201	0.03577239776	0.9976359338	0.03577239776
202	0.0355666877	0.9976359338	0.0355666877
203	0.03527656501	0.9976359338	0.03527656501
204	0.03500009425	0.9976359338	0.03500009425
205	0.03479624156	0.9976359338	0.03479624156
