month,ex_rate,money_supply,inf
2009-01-01,16954,1582871.66666667,15.536579099999996
2009-02-01,16953,1722413.0,6.701754399999999
2009-03-01,16991,1830076.6666666667,2.4175579000000056
2009-04-01,17941,1914078.0,4.602837699999995
2009-05-01,18544,1964660.3333333333,9.696635400000003
2009-06-01,18544,2078972.6666666667,8.462128699999994
2009-07-01,18932,2256082.0,8.593495099999998
2009-08-01,18932,2400087.0,10.840542600000006
2009-09-01,20703,2504713.6666666665,10.53
2009-10-01,20618,2488465.5,19.370000000000005
2009-11-01,20628,2603747.0,22.53
2009-12-01,20828,2643461.5,19.82
2010-01-01,20828,2676373.0,15.930000000000009
2010-02-01,20828,3246226.0,8.569999999999993
2010-03-01,20828,3373117.33333333,5.6200000000000045
2010-04-01,20828,3554706.0,6.959999999999994
2010-05-01,20828,3798418.6666666665,6.909999999999997
2010-06-01,21036,3912953.6666666665,6.549999999999997
2010-07-01,21036,4035454.3333333335,7.019999999999996
2010-08-01,21036,4251885.333333333,5.909999999999997
2010-09-01,21036,4498224.666666667,4.829999999999998
2010-10-01,21246,4627258.0,5.549999999999997
2010-11-01,21246,4775207.0,5.1200000000000045
2010-12-01,21246,5013557.333333333,3.3799999999999955
2011-01-01,21485,5267007.666666667,1.5300000000000011
2011-02-01,21673,5399132.666666667,0.980000000000004
2011-03-01,21890,5597673.333333333,0.5
2011-04-01,21890,5850671.333333333,0.5100000000000051
2011-05-01,21857,6171503.333333333,1.879999999999996
2011-06-01,21873,6448708.333333333,2.8100000000000023
2011-07-01,21949,6707183.333333333,3.4000000000000057
2011-08-01,22159,6986772.333333333,4.879999999999996
2011-09-01,22276,7311810.0,4.959999999999994
2011-10-01,22431,7495577.333333333,3.3400000000000034
2011-11-01,22470,7769658.333333333,3.0999999999999943
2011-12-01,22425,8052195.333333333,2.730000000000004
2012-01-01,22458,8406369.0,2.819999999999993
2012-02-01,22650,8766141.666666666,3.75
2012-03-01,22714,8888123.666666666,4.140000000000001
2012-04-01,22825,9060768.333333334,3.4399999999999977
2012-05-01,22980,9447624.666666666,2.819999999999993
2012-06-01,23066,9706660.0,3.75
2012-07-01,23161,9964317.0,4.140000000000001
2012-08-01,23185,10206795.0,3.4399999999999977
