video_id,trending_date,channel_title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled
2kyS6SvSYSE,2017-11-14,CaseyNeistat,22,2017-11-13T17:13:01.000Z,748374,57527,2966,15954,False,False
1ZAPwfrtAFY,2017-11-14,LastWeekTonight,24,2017-11-13T07:30:00.000Z,2418783,97185,6146,12703,False,False
5qpjK5DgCt4,2017-11-14,Rudy Mancuso,23,2017-11-12T19:05:24.000Z,3191434,146033,5339,8181,False,False
puqaWrEC7tY,2017-11-14,Good Mythical Morning,24,2017-11-13T11:00:04.000Z,343168,10172,666,2146,False,False
d380meD0W0M,2017-11-14,nigahiga,24,2017-11-12T18:01:41.000Z,2095731,132235,1989,17518,False,False
gHZ1Qz0KiKM,2017-11-14,iJustine,28,2017-11-13T19:07:23.000Z,119180,9763,511,1434,False,False
39idVpFF7NQ,2017-11-14,Saturday Night Live,24,2017-11-12T05:37:17.000Z,2103417,15993,2445,1970,False,False
nc99ccSXST0,2017-11-14,CrazyRussianHacker,28,2017-11-12T21:50:37.000Z,817732,23663,778,3432,False,False
jr9QtXwC9vc,2017-11-14,20th Century Fox,1,2017-11-13T14:00:23.000Z,826059,3543,119,340,False,False
TUmyygCMMGA,2017-11-14,Vox,25,2017-11-13T13:45:16.000Z,256426,12654,1363,2368,False,False
9wRQljFNDW8,2017-11-14,NFL,17,2017-11-13T02:05:26.000Z,81377,655,25,177,False,False
VifQlJit6A0,2017-11-14,amc,24,2017-11-13T03:00:00.000Z,104578,1576,303,1279,False,False
5E4ZBSInqUU,2017-11-14,marshmello,10,2017-11-13T17:00:00.000Z,687582,114188,1333,8371,False,False
GgVmn66oK_A,2017-11-14,NowThis World,25,2017-11-12T14:00:00.000Z,544770,7848,1171,3981,False,False
TaTleo4cOs8,2017-11-14,The king of DIY,15,2017-11-12T18:30:01.000Z,207532,7473,246,2120,False,False
kgaO45SyaO4,2017-11-14,BostonDynamics,28,2017-11-13T20:09:58.000Z,75752,9419,52,1230,False,False
ZAQs-ctOqXQ,2017-11-14,Cracked,23,2017-11-12T17:00:05.000Z,295639,8011,638,1256,False,False
YVfyYrEmzgM,2017-11-14,TED-Ed,27,2017-11-13T16:00:07.000Z,78044,5398,53,385,False,False
eNSN6qet1kE,2017-11-14,PeterSripol,28,2017-11-13T15:30:17.000Z,97007,11963,36,2211,False,False
B5HORANmzHw,2017-11-14,SciShow,27,2017-11-12T22:00:01.000Z,223871,8421,191,1214,False,False
vU14JY3x81A,2017-11-14,Life Noggin,27,2017-11-13T14:00:03.000Z,115791,9586,75,2800,False,False
6VhU_T463sU,2017-11-14,Tested,28,2017-11-12T15:00:01.000Z,224019,3585,138,208,False,False
_-aDHxoblr4,2017-11-14,Tom Scott,27,2017-11-13T16:00:03.000Z,144418,11758,89,1014,False,False
JBZTZZAcFTw,2017-11-14,Refinery29,26,2017-11-12T16:00:01.000Z,145921,1707,578,673,False,False
lZ68j2J_GOM,2017-11-14,Gus Johnson,23,2017-11-13T14:44:24.000Z,33980,4884,52,234,False,False
dRpNZV18N_g,2017-11-14,HellthyJunkFood,24,2017-11-12T14:00:04.000Z,223077,8676,193,1392,False,False
fcVjitaM3LY,2017-11-14,Numberphile,28,2017-11-13T12:13:36.000Z,80705,4687,41,437,False,False
qeWvgZLz9yU,2017-11-14,JerryRigEverything,26,2017-11-13T16:00:03.000Z,120727,9033,224,1346,False,False
iIxy3JN3-jc,2017-11-14,Cleveland Cavaliers on cleveland.com,25,2017-11-13T15:42:28.000Z,27943,156,36,83,False,False
n30k5CwLhS4,2017-11-14,FaeryInLoveInc,1,2011-05-29T17:03:12.000Z,50867,715,238,246,False,False
U0hAC8O7RoI,2017-11-14,hp_overload,2,2017-11-13T01:43:12.000Z,98378,4035,495,486,False,False
CBVGjS_EJok,2017-11-14,Amazon.co.uk,24,2017-11-06T17:52:50.000Z,26000,119,69,0,True,False
n1WpP7iowLc,2017-11-14,EminemVEVO,10,2017-11-10T17:00:03.000Z,17158531,787419,43420,125882,False,False
hz7ukDjuq4w,2017-11-14,officer401,24,2017-11-12T23:41:37.000Z,67661,3781,84,626,False,False
p2hJxyF7mok,2017-11-14,Emirates,19,2017-11-12T05:55:42.000Z,141148,1661,70,236,False,False
0mlNzVSJrT0,2017-11-14,Nobrand,22,2017-04-21T06:47:32.000Z,98966,2486,184,532,False,False
Om_zGhJLZ5U,2017-11-14,Screen Junkies,1,2017-11-12T18:00:03.000Z,288922,7515,792,2111,False,False
e_7zHm7GsYc,2017-11-14,Hunter Hayes,10,2017-11-13T15:01:18.000Z,13917,1318,24,76,False,False
dQvIbulWCM4,2017-11-14,Niki and Gabi,23,2017-11-12T23:41:48.000Z,605932,38397,1387,3412,False,False
zZ9FciUx6gs,2017-11-14,Nickelback,10,2017-11-13T15:31:44.000Z,57169,6927,161,565,False,False
PaJCFHXcWmM,2017-11-14,U2VEVO,10,2017-11-13T17:00:04.000Z,60506,5389,106,455,False,False
goP4Z5wyOlM,2017-11-14,BBC News,25,2017-11-12T21:16:40.000Z,34785,308,26,413,False,False
NZFhMSgbKKM,2017-11-14,Ben Rohrbach,17,2017-11-13T15:11:00.000Z,945,7,5,8,False,False
0tO_l_Ed5Rs,2017-11-14,MatthewSantoro,10,2017-11-11T16:00:01.000Z,328330,15186,15448,7484,False,False
STI2fI7sKMo,2017-11-14,Shawn Johnson East,22,2017-11-11T15:00:03.000Z,321053,4451,1772,895,False,False
BWPrk9PUwQE,2017-11-14,dope2111,26,2017-11-12T00:45:54.000Z,1456472,33505,1660,2160,False,False
ogYum4kWXgk,2017-11-14,People are Awesome,24,2017-11-13T13:00:06.000Z,69844,3417,33,160,False,False
zNqCVTs38nU,2017-11-14,D3sports.com,17,2017-11-13T02:15:30.000Z,4569,35,18,19,False,False
DM-ni_LSOFE,2017-11-14,FBE,24,2017-11-10T23:05:25.000Z,2045386,45406,2842,8309,False,False
0PpNlNJ6Nng,2017-11-14,Simply Nailogical,24,2017-11-11T19:03:43.000Z,1842393,99086,1339,11800,False,False
c-3JxzN2u34,2017-11-14,CBS Sunday Morning,25,2017-11-12T15:05:55.000Z,6473,205,6,15,False,False
069D0NmW39o,2017-11-14,WWE,17,2017-11-11T15:00:00.000Z,1044813,15397,838,1100,False,False
9t9u_yPEidY,2017-11-14,JenniferLopezVEVO,10,2017-11-10T15:00:00.000Z,9548677,190083,15015,11473,False,False
KODzih-pYlU,2017-11-14,Grace Helbig,22,2017-11-11T18:08:04.000Z,197062,7250,217,456,False,False
8NHA23f7LvU,2017-11-14,The Graham Norton Show,24,2017-11-10T19:06:23.000Z,1496225,16116,236,605,False,False
w0XYVssCKjw,2017-11-14,Kevin Durant,17,2017-11-11T20:00:02.000Z,162597,5734,106,525,False,False
9XSULcLI6Hg,2017-11-14,JimBrowski 96HourNews,25,2017-11-12T15:24:29.000Z,9132,21,8,64,False,False
pjuPpVLXDQg,2017-11-14,ViralHog,2,2017-11-13T00:46:11.000Z,7265,89,8,22,False,False
9xSx-5tmq44,2017-11-14,Jeremy Jahns,24,2017-11-11T06:34:48.000Z,291597,8209,344,1062,False,False
4v0nOAzcG2A,2017-11-14,Jonathan Morrison,28,2017-11-11T15:38:32.000Z,290801,10237,377,1016,False,False
oTObwUiXdYY,2017-11-14,TIME,25,2017-11-13T15:44:35.000Z,5304,52,13,68,False,False
1cgK-BIrXes,2017-11-14,YouTube Spotlight,24,2017-11-10T15:07:13.000Z,812516,26917,1979,4998,False,False
ujyTQNNjjDU,2017-11-14,GEazyMusicVEVO,10,2017-11-10T05:00:01.000Z,2642930,115795,3055,6410,False,False
PABlVzeldaM,2017-11-14,U.S. Navy,25,2017-11-12T13:13:33.000Z,105058,493,54,347,False,False
6340tX9M_eM,2017-11-14,IGN,24,2017-11-10T19:00:00.000Z,537715,8231,413,970,False,False
8mhTWqWlQzU,2017-11-14,Safiya Nygaard,22,2017-11-11T01:19:33.000Z,2744430,115426,1110,6541,False,False
t4YAyT4ihIQ,2017-11-14,Lele Pons,23,2017-11-10T18:30:01.000Z,3358068,120876,8279,6408,False,False
